
0it [00:00, ?it/s]
2it [04:54, 147.29s/it]
3it [09:49, 208.93s/it]
4it [14:46, 241.77s/it]
5it [19:43, 260.81s/it]
6it [24:39, 272.55s/it]
7it [29:36, 280.47s/it]
8it [34:33, 285.75s/it]
9it [39:34, 290.22s/it]
10it [44:36, 293.88s/it]
11it [49:37, 296.28s/it]
12it [54:39, 297.84s/it]
13it [59:41, 299.06s/it]
14it [1:04:42, 299.85s/it]
15it [1:09:44, 300.43s/it]
16it [1:14:46, 300.83s/it]
17it [1:19:47, 300.97s/it]
18it [1:24:49, 301.12s/it]
19it [1:29:50, 301.15s/it]
20it [1:34:51, 301.15s/it]
21it [1:39:53, 301.28s/it]
22it [1:44:54, 301.32s/it]
23it [1:49:56, 301.39s/it]
24it [1:54:57, 301.42s/it]
25it [1:59:58, 301.42s/it]
26it [2:04:58, 300.73s/it]
27it [2:09:59, 301.01s/it]
28it [2:15:01, 301.25s/it]
29it [2:20:02, 301.26s/it]
30it [2:25:04, 301.48s/it]
31it [2:30:06, 301.61s/it]
32it [2:35:08, 301.66s/it]
33it [2:40:09, 301.52s/it]
34it [2:45:11, 301.47s/it]
35it [2:50:12, 301.49s/it]
36it [2:55:13, 301.41s/it]
37it [3:00:15, 301.43s/it]
38it [3:05:16, 301.49s/it]
39it [3:10:18, 301.38s/it]
40it [3:15:19, 301.32s/it]
41it [3:20:20, 301.26s/it]
42it [3:25:21, 301.19s/it]
43it [3:30:21, 300.89s/it]
44it [3:35:22, 300.91s/it]
45it [3:40:24, 301.07s/it]
46it [3:45:25, 301.20s/it]
47it [3:50:26, 301.20s/it]
48it [3:55:28, 301.25s/it]
49it [4:00:29, 301.24s/it]
50it [4:05:30, 301.21s/it]
51it [4:10:31, 301.26s/it]
52it [4:15:33, 301.24s/it]
53it [4:20:34, 301.27s/it]
54it [4:25:35, 301.24s/it]
55it [4:30:36, 301.18s/it]
56it [4:35:37, 301.23s/it]
57it [4:40:39, 301.38s/it]
58it [4:45:41, 301.59s/it]
59it [4:50:43, 301.68s/it]
60it [4:55:45, 301.80s/it]
61it [5:00:44, 300.86s/it]
62it [5:05:42, 300.00s/it]
63it [5:10:44, 300.56s/it]
64it [5:15:44, 300.63s/it]
65it [5:20:41, 299.43s/it]
66it [5:25:37, 298.43s/it]
67it [5:30:33, 297.57s/it]
68it [5:35:28, 296.93s/it]
69it [5:40:23, 296.42s/it]
70it [5:45:19, 296.23s/it]
71it [5:50:15, 296.02s/it]
72it [5:55:12, 296.47s/it]
73it [6:00:10, 296.75s/it]
74it [6:05:08, 297.09s/it]
75it [6:10:05, 297.11s/it]
76it [6:15:02, 297.03s/it]
77it [6:19:58, 296.98s/it]
78it [6:24:55, 296.90s/it]
79it [6:29:52, 296.88s/it]
80it [6:34:53, 298.17s/it]
81it [6:39:51, 297.92s/it]
82it [6:44:46, 297.22s/it]
83it [6:49:42, 296.74s/it]
84it [6:54:37, 296.33s/it]
85it [6:59:33, 296.14s/it]
86it [7:04:29, 296.04s/it]
87it [7:09:24, 295.84s/it]
88it [7:14:19, 295.71s/it]
89it [7:19:15, 295.65s/it]
90it [7:24:10, 295.62s/it]
91it [7:29:06, 295.58s/it]
92it [7:34:01, 295.55s/it]
93it [7:38:57, 295.48s/it]
94it [7:43:57, 296.90s/it]
95it [7:48:59, 298.54s/it]
96it [7:54:02, 299.66s/it]
97it [7:59:04, 300.44s/it]
98it [8:04:06, 300.98s/it]
99it [8:09:07, 301.05s/it]
100it [8:14:04, 299.61s/it]
101it [8:19:00, 298.58s/it]
102it [8:23:56, 297.79s/it]
103it [8:28:51, 296.97s/it]
104it [8:33:46, 296.44s/it]
105it [8:38:41, 296.12s/it]
106it [8:43:37, 295.88s/it]
107it [8:48:36, 296.86s/it]
108it [8:53:37, 298.28s/it]
109it [8:58:39, 299.35s/it]
110it [9:03:41, 300.04s/it]
111it [9:08:38, 299.28s/it]
112it [9:13:33, 297.98s/it]
113it [9:18:28, 297.02s/it]
114it [9:23:24, 296.83s/it]
115it [9:28:27, 298.49s/it]
116it [9:33:29, 299.69s/it]
117it [9:38:32, 300.46s/it]
118it [9:43:34, 300.99s/it]
119it [9:48:36, 301.36s/it]
120it [9:53:33, 300.11s/it]
121it [9:58:29, 298.85s/it]
122it [10:03:25, 297.87s/it]
123it [10:08:25, 298.47s/it]
124it [10:13:27, 299.65s/it]
125it [10:18:29, 300.44s/it]
126it [10:23:32, 300.97s/it]
127it [10:28:34, 301.41s/it]
128it [10:33:35, 301.18s/it]
129it [10:38:31, 299.76s/it]
130it [10:43:27, 298.63s/it]
131it [10:48:23, 297.89s/it]
132it [10:53:19, 297.31s/it]
133it [10:58:15, 296.78s/it]
134it [11:03:10, 296.34s/it]
135it [11:08:06, 296.15s/it]
136it [11:13:01, 295.96s/it]
137it [11:17:57, 295.94s/it]
138it [11:22:53, 295.94s/it]
139it [11:27:49, 295.91s/it]
140it [11:32:44, 295.76s/it]
141it [11:37:40, 295.76s/it]
142it [11:42:36, 295.81s/it]
143it [11:47:32, 295.89s/it]
144it [11:52:28, 295.91s/it]
145it [11:57:24, 295.94s/it]
146it [12:02:19, 295.65s/it]
147it [12:07:14, 295.50s/it]
148it [12:12:11, 295.86s/it]
149it [12:17:10, 296.94s/it]
150it [12:22:12, 298.34s/it]
151it [12:27:14, 299.59s/it]
152it [12:32:17, 300.44s/it]
153it [12:37:19, 301.07s/it]
154it [12:42:19, 300.76s/it]
155it [12:47:22, 301.21s/it]
156it [12:52:24, 301.50s/it]
157it [12:57:26, 301.71s/it]
158it [13:02:27, 301.48s/it]
159it [13:07:22, 299.57s/it]
160it [13:12:22, 299.64s/it]
161it [13:17:23, 300.06s/it]
162it [13:22:23, 300.19s/it]
163it [13:27:24, 300.15s/it]
164it [13:32:23, 299.89s/it]
165it [13:37:23, 300.06s/it]
166it [13:42:24, 300.22s/it]
167it [13:47:24, 300.18s/it]
168it [13:52:23, 299.93s/it]
169it [13:57:24, 300.08s/it]
170it [14:02:24, 300.13s/it]
171it [14:07:24, 300.11s/it]
172it [14:12:24, 299.98s/it]
173it [14:17:24, 300.19s/it]
174it [14:22:25, 300.29s/it]
175it [14:27:25, 300.32s/it]
176it [14:32:25, 300.01s/it]
177it [14:37:25, 300.02s/it]
178it [14:42:25, 300.12s/it]
179it [14:47:26, 300.30s/it]
180it [14:52:25, 300.07s/it]
181it [14:57:25, 300.05s/it]
182it [15:02:26, 300.13s/it]
183it [15:07:26, 300.22s/it]
184it [15:12:26, 300.02s/it]
185it [15:17:25, 299.95s/it]
186it [15:22:26, 300.16s/it]
187it [15:27:27, 300.28s/it]
188it [15:32:26, 300.17s/it]
189it [15:37:26, 299.99s/it]
190it [15:42:26, 300.10s/it]
191it [15:47:27, 300.27s/it]
192it [15:52:27, 300.17s/it]
193it [15:57:26, 299.94s/it]
194it [16:02:27, 300.15s/it]
195it [16:07:27, 300.23s/it]
196it [16:12:28, 300.25s/it]
197it [16:17:27, 299.85s/it]
198it [16:22:27, 299.99s/it]
199it [16:27:27, 300.12s/it]
200it [16:32:23, 298.89s/it]
201it [16:37:18, 297.60s/it]
202it [16:42:12, 296.67s/it]
203it [16:47:08, 296.18s/it]
204it [16:52:02, 295.73s/it]
205it [16:56:57, 295.35s/it]
206it [17:01:51, 295.15s/it]
207it [17:06:46, 295.07s/it]
208it [17:11:41, 295.02s/it]
209it [17:16:36, 295.01s/it]
210it [17:21:31, 294.97s/it]
211it [17:26:26, 294.96s/it]
212it [17:31:21, 294.91s/it]
213it [17:36:15, 294.83s/it]
214it [17:41:10, 294.86s/it]
215it [17:46:06, 294.98s/it]
216it [17:51:00, 294.90s/it]
217it [17:55:55, 294.98s/it]
218it [18:00:50, 294.90s/it]
219it [18:05:45, 294.79s/it]
220it [18:10:39, 294.78s/it]
221it [18:15:34, 294.74s/it]
222it [18:20:30, 295.00s/it]
223it [18:25:24, 294.84s/it]
224it [18:30:23, 296.08s/it]
225it [18:35:22, 297.02s/it]
226it [18:40:22, 297.90s/it]
227it [18:45:23, 298.67s/it]
228it [18:50:23, 299.16s/it]
229it [18:55:22, 299.14s/it]
230it [19:00:23, 299.50s/it]
231it [19:05:23, 299.83s/it]
232it [19:10:24, 300.07s/it]
233it [19:15:23, 299.76s/it]
234it [19:20:23, 299.94s/it]
235it [19:25:24, 300.11s/it]
236it [19:30:24, 300.26s/it]
237it [19:35:24, 300.11s/it]
238it [19:40:24, 300.12s/it]
239it [19:45:25, 300.23s/it]
240it [19:50:25, 300.26s/it]
241it [19:55:24, 300.01s/it]
242it [20:00:25, 300.08s/it]
243it [20:05:25, 300.25s/it]
244it [20:10:26, 300.35s/it]
245it [20:15:25, 300.03s/it]
246it [20:20:26, 300.13s/it]
247it [20:25:26, 300.20s/it]
248it [20:30:26, 300.14s/it]
249it [20:35:25, 299.82s/it]
250it [20:40:25, 299.91s/it]
251it [20:45:26, 300.15s/it]
252it [20:50:26, 300.20s/it]
253it [20:55:25, 299.96s/it]
254it [21:00:25, 299.97s/it]
255it [21:05:26, 300.11s/it]
256it [21:10:26, 300.25s/it]
257it [21:15:26, 299.99s/it]
258it [21:20:26, 300.03s/it]
259it [21:25:26, 300.16s/it]
260it [21:30:27, 300.29s/it]
261it [21:35:27, 300.04s/it]
262it [21:40:27, 300.03s/it]
263it [21:45:27, 300.20s/it]
264it [21:50:24, 299.05s/it]
265it [21:55:18, 297.71s/it]
266it [22:00:14, 297.10s/it]
267it [22:05:09, 296.67s/it]
268it [22:10:04, 296.18s/it]
269it [22:15:00, 295.84s/it]
