
0it [00:00, ?it/s]
1it [00:00,  5.45it/s]
2it [04:23, 155.21s/it]
3it [08:45, 203.58s/it]
4it [13:07, 226.71s/it]
5it [17:30, 239.88s/it]
6it [21:52, 247.52s/it]
7it [26:11, 251.18s/it]
8it [30:35, 255.14s/it]
9it [34:57, 257.41s/it]
10it [39:23, 260.19s/it]
11it [43:46, 260.77s/it]
12it [48:09, 261.64s/it]
13it [52:33, 262.19s/it]
14it [56:54, 261.80s/it]
15it [1:01:16, 262.04s/it]
16it [1:05:35, 261.06s/it]
17it [1:09:57, 261.46s/it]
18it [1:14:16, 260.77s/it]
19it [1:18:35, 259.97s/it]
20it [1:22:55, 259.98s/it]
21it [1:27:14, 259.80s/it]
22it [1:31:34, 260.02s/it]
23it [1:35:53, 259.50s/it]
24it [1:40:12, 259.55s/it]
25it [1:44:31, 259.29s/it]
26it [1:48:49, 258.77s/it]
27it [1:53:05, 257.95s/it]
28it [1:57:22, 257.81s/it]
29it [2:01:40, 257.73s/it]
30it [2:05:57, 257.66s/it]
31it [2:10:12, 256.88s/it]
32it [2:14:27, 256.31s/it]
33it [2:18:41, 255.67s/it]
34it [2:22:55, 255.12s/it]
35it [2:27:11, 255.24s/it]
36it [2:31:26, 255.29s/it]
37it [2:35:51, 258.11s/it]
38it [2:40:35, 265.98s/it]
39it [2:45:19, 271.29s/it]
40it [2:50:03, 275.17s/it]
41it [2:54:20, 269.66s/it]
42it [2:59:02, 273.50s/it]
43it [3:03:45, 276.24s/it]
44it [3:08:28, 278.25s/it]
45it [3:13:11, 279.82s/it]
46it [3:17:54, 280.71s/it]
47it [3:22:39, 281.79s/it]
48it [3:27:22, 282.29s/it]
49it [3:32:04, 282.22s/it]
50it [3:36:49, 282.90s/it]
51it [3:41:32, 283.11s/it]
52it [3:46:16, 283.22s/it]
53it [3:50:59, 283.35s/it]
54it [3:55:42, 283.22s/it]
55it [4:00:25, 283.13s/it]
56it [4:05:08, 283.06s/it]
57it [4:09:50, 282.71s/it]
58it [4:14:33, 282.95s/it]
59it [4:19:17, 282.99s/it]
60it [4:23:49, 279.87s/it]
61it [4:28:11, 274.38s/it]
62it [4:32:32, 270.51s/it]
63it [4:36:52, 267.35s/it]
64it [4:41:18, 266.83s/it]
65it [4:45:44, 266.52s/it]
66it [4:50:07, 265.71s/it]
67it [4:54:30, 264.89s/it]
68it [4:59:07, 268.55s/it]
69it [5:03:43, 270.75s/it]
70it [5:08:21, 272.76s/it]
71it [5:13:00, 274.84s/it]
72it [5:17:21, 270.69s/it]
73it [5:21:38, 266.34s/it]
74it [5:25:57, 264.13s/it]
75it [5:30:13, 261.85s/it]
76it [5:34:30, 260.43s/it]
77it [5:38:48, 259.59s/it]
78it [5:43:04, 258.59s/it]
79it [5:47:22, 258.27s/it]
